,Mean,SEM
p13_uLdA_i0_t37,9405.249426550314,189.82448466300065
p14_uEdA_i0_t37,9729.10906861259,368.50969070795236
p14_uLdA_i0_t37,9643.951218454575,301.7735657882653
p15_uEdA_i0_t37,12939.144551234345,788.2974969939628
p15_uEdC_i0_t37,11873.663335687634,75.10028040968922
p15_uLdA_i0_t37,13520.540128368046,2352.7941134411303
p16_uEdA_i0_t37,10884.727303584363,458.0435299517657
p16_uEdC_i0_t37,11357.540493254939,314.13504310602787
p16_uLdA_i0_t37,9453.913018173345,185.35018761697134
p17_uEdA_i0_t37,11913.915483716004,669.9097663944423
p17_uEdC_i0_t37,11615.865577231581,232.09120699781135
p17_uLdA_i0_t37,9640.399074528415,76.89188532832209
p18_uEdA_i0_t37,11822.922277922904,271.8514798270673
p18_uEdC_i0_t37,11230.34456461937,83.02213980079355
p18_uLdA_i0_t37,9257.441078850961,172.15762614300982
p19_uEdA_i0_t37,11813.210942199607,123.2948484814239
p19_uEdC_i0_t37,9106.939227031862,169.71768813830354
p19_uLdA_i0_t37,11480.463307650765,242.8982770139717
p20_uEdA_i0_t37,10732.260536667798,176.35984222084957
p20_uEdC_i0_t37,11567.071187658905,1599.3843892259608
p20_uLdA_i0_t37,10130.735982161963,832.2660331988942
p21_uEdA_i0_t37,12503.65237727709,292.84321843404956
p21_uLdA_i0_t37,8991.693071630005,260.95673853502365
p22_uEdA_i0_t37,11469.757385338564,171.2873290400806
p22_uLdA_i0_t37,9581.472349984266,216.57173681261676
p23_uEdA_i0_t37,11428.185360592348,145.86469777580982
p23_uLdA_i0_t37,8805.62141864684,166.86422245066984
p24_uEdA_i0_t37,11293.358821669717,124.82665755437112
p24_uLdA_i0_t37,9097.35054176015,251.07638032739953
p25_uEdA_i0_t37,14091.88463157203,375.0847037783477
p25_uLdA_i0_t37,9241.753804545675,446.924933086559
p26_uEdA_i0_t37,12797.39836578744,127.82552506646347
p26_uLdA_i0_t37,8336.31893419979,116.26603275080541
p27_uEdA_i0_t37,11520.237732714499,281.79736204839503
p27_uLdA_i0_t37,7239.644976642088,1134.4444954847602
p28_uEdA_i0_t37,10868.490986496587,232.57567562683545
p28_uLdA_i0_t37,8616.973404349475,225.47826859753334
