,Mean,SEM
p22_uEdA_i0_t37,0.20375793835799208,0.011025143941261322
p22_uLdA_i0_t37,0.21011725075950052,0.004326358486617338
p23_uEdA_i0_t37,1.3201117867964938,0.008211450717178253
p23_uLdA_i0_t37,1.61353748493046,0.0179748178588563
p24_uEdA_i0_t37,1.1078955477821515,0.0161588959430079
p24_uLdA_i0_t37,1.2289111361075113,0.009749307466457472
p25_uEdA_i0_t37,1.0160281217086424,0.012538054329248215
p25_uLdA_i0_t37,1.2526336288138853,0.021806189627946695
p26_uEdA_i0_t37,2.9653497560842847,0.027078492659144592
p26_uLdA_i0_t37,3.5428442863426555,0.02255919810243283
p27_uEdA_i0_t37,2.8339666627371822,0.017437760263912562
p27_uLdA_i0_t37,3.1340690388906114,0.02601344171932612
p28_uEdA_i0_t37,2.4215374651490724,0.01397937706902926
p28_uLdA_i0_t37,2.6371753527989577,0.036075755736565976
